IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000866-02012019,02 Jan 2019,2019,14:50:23,14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21500533,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,,,510050,172950,,,London,Feltham,454,Feltham,470,Twickenham,2,3,3,1,333,1
000871-02012019,02 Jan 2019,2019,15:03:03,15,False Alarm,AFA,,Non Residential,Club/night club ,Correct incident location,TW3 2DB,TW3,1.00023E+11,21501205,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513823,175239,513850,175250,51.464686,-0.362834,London,Heston,297,Heston,,,1,1,1,1,333,1
000881-02012019,02 Jan 2019,2019,15:38:07,15,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21501522,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,515650,177550,,,London,Heston,305,Heston,,,1,1,1,1,333,1
000934-02012019,02 Jan 2019,2019,17:38:05,17,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21510540,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,,,513150,175450,,,London,Heston,316,Heston,320,Heston,4,5,5,19,6327,1
000973-02012019,02 Jan 2019,2019,19:16:00,19,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500525,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,520050,177450,,,London,Chiswick,236,Richmond,249,Chiswick,2,2,2,1,333,1
001074-03012019,03 Jan 2019,2019,01:08:38,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW3,0,21590245,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,513450,175250,,,London,Heston,296,Heston,321,Heston,1,2,2,6,1998,3
001181-03012019,03 Jan 2019,2019,11:12:08,11,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,TW3,0,21500083,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,,,512450,176050,,,London,Feltham,942,Twickenham,,,1,1,1,1,333,1
001248-03012019,03 Jan 2019,2019,14:19:37,14,Special Service,Special Service,Effecting entry/exit,Outdoor,Cycle path/public footpath/bridleway ,On land associated with building,TW14 0LZ,TW14,1.00023E+11,21500428,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,510299,174706,510250,174750,51.46059757,-0.413694541,London,Feltham,6,Feltham,,,1,1,1,1,333,1
001425-03012019,03 Jan 2019,2019,21:07:22,21,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW8,0,21520015,E09000018,HOUNSLOW,Hounslow,E05013608,Brentford West,Brentford West,,,517150,178350,,,London,Ealing,,,,,1,1,1,1,333,2
001514-04012019,04 Jan 2019,2019,02:39:03,2,Fire,Primary Fire,,Outdoor Structure,Outdoor storage ,On land associated with building,TW7 7JT,TW7,1.00022E+11,21500337,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,516070,174996,516050,174950,51.46204733,-0.330576283,London,Heston,303,Heston,,,1,2,2,5,1665,4
001519-04012019,04 Jan 2019,2019,03:11:22,3,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21500809,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,,,516050,174850,,,London,Heston,487,Richmond,,,2,2,1,1,333,1
001572-04012019,04 Jan 2019,2019,07:57:58,7,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW3,0,21501410,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,,,514850,176050,,,London,Heston,165,Heston,169,Heston,1,2,2,1,333,1
001674-04012019,04 Jan 2019,2019,14:01:13,14,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,TW14,0,21590272,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,,,508250,173250,,,London,Feltham,346,Feltham,,,1,1,1,1,333,1
001844-04012019,04 Jan 2019,2019,22:27:34,22,Special Service,Special Service,Effecting entry/exit,Non Residential,Gym ,Correct incident location,W4 5AG,W4,10093764942,21502481,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520188,178560,520150,178550,51.4932219,-0.2701174,London,Chiswick,156,Chiswick,,,1,1,1,1,333,1
001897-05012019,05 Jan 2019,2019,01:37:02,1,False Alarm,False alarm - Malicious,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W4,0,21501074,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,519450,178250,,,London,Chiswick,226,Chiswick,,,1,1,1,1,333,1
001900-05012019,05 Jan 2019,2019,01:48:24,1,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,TW7 6AF,TW7,10093258082,21501137,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,516539,176322,516550,176350,51.47386991,-0.323389775,London,Heston,265,Heston,,,1,1,1,1,333,2
001911-05012019,05 Jan 2019,2019,03:14:22,3,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,TW7 6QH,TW7,1.00023E+11,21500702,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,515660,176439,515650,176450,51.47510428,-0.335995038,London,Heston,247,Heston,326,Heston,1,2,2,1,333,1
001993-05012019,05 Jan 2019,2019,09:37:32,9,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21501127,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512550,172750,,,London,Feltham,385,Feltham,,,1,1,1,1,333,1
002004-05012019,05 Jan 2019,2019,10:34:43,10,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,UB2 5SG,UB2,2.00004E+11,21500815,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,512503,178048,512550,178050,51.49020196,-0.380928052,London,Southall,393,Southall,,,1,1,1,1,333,1
002029-05012019,05 Jan 2019,2019,12:03:06,12,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW5,0,21501151,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,,,512550,177350,,,London,Heston,422,Southall,,,1,1,1,1,333,1
002033-05012019,05 Jan 2019,2019,12:14:20,12,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21500080,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,513150,172650,,,London,Feltham,397,Feltham,408,Twickenham,2,2,2,1,333,1
002128-05012019,05 Jan 2019,2019,17:04:08,17,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,TW13 4TB,TW13,10091690868,21509601,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,509382,172656,509350,172650,51.44234967,-0.427533857,London,Feltham,465,Feltham,,,1,1,1,1,333,1
002135-05012019,05 Jan 2019,2019,17:13:27,17,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21510540,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,,,513150,175450,,,London,Heston,380,Heston,,,1,1,1,1,333,2
002192-05012019,05 Jan 2019,2019,19:42:22,19,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21510540,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,,,513150,175450,,,London,Heston,282,Heston,,,1,1,1,1,333,1
002198-05012019,05 Jan 2019,2019,20:00:44,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW8,0,21500015,E09000018,HOUNSLOW,Hounslow,E05013608,Brentford West,Brentford West,,,517950,177550,,,London,Chiswick,360,Chiswick,,,1,1,1,1,333,1
002297-06012019,06 Jan 2019,2019,01:59:24,1,Fire,Primary Fire,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,TW13 4AQ,TW13,1.00022E+11,21501253,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,510730,172993,510750,172950,51.44511509,-0.408035351,London,Feltham,386,Feltham,410,Feltham,1,2,2,3,999,2
002333-06012019,06 Jan 2019,2019,04:58:45,4,False Alarm,False alarm - Good intent,,Non Residential,Purpose built office ,Correct incident location,TW8 8LG,TW8,1.00024E+11,21500297,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,517149,177387,517150,177350,51.48331568,-0.314251754,London,Heston,406,Heston,445,Heston,1,2,2,1,333,1
002481-06012019,06 Jan 2019,2019,14:22:17,14,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,TW3 3EY,TW3,1.00022E+11,21501461,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,512782,175771,512750,175750,51.46967991,-0.377636116,London,Heston,388,Feltham,394,Feltham,2,3,3,1,333,1
002508-06012019,06 Jan 2019,2019,15:54:53,15,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21501000,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512850,172650,,,London,Feltham,448,Twickenham,462,Twickenham,1,2,2,1,333,1
002595-06012019,06 Jan 2019,2019,18:45:48,18,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W4,0,21501177,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,519450,178250,,,London,Chiswick,143,Chiswick,277,Acton,2,2,2,1,333,1
002607-06012019,06 Jan 2019,2019,19:16:05,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21501173,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512950,172650,,,London,Feltham,351,Twickenham,,,1,2,8,19,6327,10
002617-06012019,06 Jan 2019,2019,19:25:53,19,False Alarm,AFA,,Non Residential,Bus/coach station/garage ,Correct incident location,TW4 6BL,TW4,2.00004E+11,21501316,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,511314,175014,511350,175050,51.46316357,-0.398994054,London,Feltham,265,Feltham,,,1,1,1,1,333,2
002653-06012019,06 Jan 2019,2019,20:30:47,20,Fire,Primary Fire,,Road Vehicle,Bicycle,Nearby address - no building in street,W4 5UW,W4,2.00004E+11,21590005,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520676,178649,520650,178650,51.49392162,-0.263050629,London,Chiswick,193,Chiswick,,,1,1,1,1,333,1
002694-06012019,06 Jan 2019,2019,23:37:07,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21500896,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,,,513850,175950,,,London,Heston,235,Heston,256,Heston,3,5,5,2,666,1
002723-07012019,07 Jan 2019,2019,01:17:41,1,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,TW8 0DW,TW8,1.00022E+11,21500506,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,518692,178108,518650,178150,51.48947546,-0.291801074,London,Chiswick,321,Richmond,,,1,1,1,2,666,10
002743-07012019,07 Jan 2019,2019,03:42:33,3,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,TW8,0,21500506,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518450,178150,,,London,Chiswick,355,Chiswick,,,1,1,1,1,333,1
002868-07012019,07 Jan 2019,2019,13:52:30,13,False Alarm,AFA,,Non Residential,Single shop ,Within same building,TW13 6SA,TW13,1.00023E+11,21500088,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,512014,171417,512050,171450,51.43069689,-0.390061851,London,Twickenham,317,Feltham,,,1,1,1,1,333,1
003239-08012019,08 Jan 2019,2019,10:47:48,10,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street close to gazetteer location,TW14 0RX,TW14,10001271982,21500229,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,510979,174902,510950,174950,51.46222281,-0.403862563,London,Feltham,252,Feltham,,,1,1,1,1,333,1
003335-08012019,08 Jan 2019,2019,15:59:12,15,False Alarm,AFA,,Non Residential,Bus/coach station/garage ,Correct incident location,W4 1SY,W4,10093258412,21502481,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521574,178674,521550,178650,51.4939523,-0.2501205,London,Chiswick,376,Hammersmith,,,1,1,1,1,333,2
003364-08012019,08 Jan 2019,2019,16:50:08,16,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,TW14 0AH,TW14,1.00022E+11,21500368,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,511268,173641,511250,173650,51.45083698,-0.400099701,London,Feltham,263,Feltham,272,Feltham,1,2,2,1,333,2
003433-08012019,08 Jan 2019,2019,19:10:50,19,Fire,Primary Fire,,Outdoor Structure,Outdoor storage ,On land associated with building,TW3 2PJ,TW3,1.00022E+11,21501224,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514249,174984,514250,174950,51.46231295,-0.356775897,London,Heston,335,Heston,,,1,1,1,1,333,1
003496-09012019,09 Jan 2019,2019,00:00:15,0,Special Service,Special Service,Spills and Leaks (not RTC),Non Residential,Underground car park,Correct incident location,TW13 4AQ,TW13,10093256550,21501426,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,510669,173120,510650,173150,51.44627228,-0.408871611,London,Feltham,289,Feltham,,,1,1,1,1,333,1
003637-09012019,09 Jan 2019,2019,12:30:51,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW14,0,21501054,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,,,508350,173550,,,London,Feltham,574,Feltham,,,3,3,2,1,333,1
003648-09012019,09 Jan 2019,2019,13:03:04,13,Fire,Primary Fire,,Non Residential,Leisure Centre ,Correct incident location,TW5 9PE,TW5,2.00004E+11,21519753,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,511144,178386,511150,178350,51.49351,-0.400383511,London,Hayes,310,Hayes,420,Southall,2,2,2,1,333,1
003739-09012019,09 Jan 2019,2019,16:42:21,16,Special Service,Special Service,Assist other agencies,Road Vehicle,Car ,In street outside gazetteer location,TW5 0UL,TW5,1.00022E+11,21501368,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,513402,177933,513450,177950,51.48898962,-0.368018873,London,Heston,415,Heston,525,Heston,1,2,2,2,666,1
003815-09012019,09 Jan 2019,2019,20:34:35,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21500094,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,,,510550,173150,,,London,Feltham,,,,,1,1,1,1,333,2
003830-09012019,09 Jan 2019,2019,21:24:44,21,False Alarm,False alarm - Good intent,,Non Residential,Train station - platform (at ground level or elevated) ,Correct incident location,W4 1LR,W4,1.00023E+11,21501135,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521266,178792,521250,178750,51.49507914,-0.25451664,London,Chiswick,180,Chiswick,307,Hammersmith,2,2,2,1,333,1
004063-10012019,10 Jan 2019,2019,14:05:30,14,Special Service,Special Service,Stand By,Non Residential,Fire station ,Within same building,TW7 4HR,TW7,10091692126,21500707,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,515166,176444,515150,176450,51.47524697,-0.343116203,London,Heston,562,Feltham,649,Twickenham,6,6,6,11,3663,1
004064-10012019,10 Jan 2019,2019,14:08:21,14,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,W4 4ET,W4,2.00003E+11,21500739,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520086,178436,520050,178450,51.492132,-0.271625,London,Chiswick,477,Hammersmith,,,1,1,1,1,333,1
004097-10012019,10 Jan 2019,2019,16:15:31,16,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,On motorway / elevated road,TW5 9NS,TW5,10059205456,99990105,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,510885,178142,510850,178150,51.49136437,-0.404187048,London,Hayes,411,Heathrow,757,Chiswick,2,2,2,1,333,1
004117-10012019,10 Jan 2019,2019,17:35:39,17,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW7,0,21501326,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,,,515750,174750,,,London,Heston,453,Richmond,469,Heston,2,3,3,3,999,2
004131-10012019,10 Jan 2019,2019,18:18:15,18,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21500982,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,,,512550,171750,,,London,Twickenham,332,Twickenham,359,Twickenham,1,2,2,1,333,1
004135-10012019,10 Jan 2019,2019,18:30:00,18,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21500647,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,514250,177250,,,London,Heston,310,Heston,475,Feltham,2,2,2,1,333,1
004164-10012019,10 Jan 2019,2019,19:41:11,19,Fire,Primary Fire,,Dwelling,Other Dwelling ,Within same building,,TW13,0,21509601,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,,,508950,172550,,,London,Feltham,351,Feltham,493,Twickenham,3,4,4,2,666,1
004319-11012019,11 Jan 2019,2019,07:26:05,7,False Alarm,AFA,,Non Residential,College/University ,Within same building,TW7 4HS,TW7,10091690970,21500523,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,515180,176548,515150,176550,51.47617799,-0.342877995,London,Heston,114,Heston,,,1,1,1,1,333,1
004411-11012019,11 Jan 2019,2019,12:52:27,12,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW8,0,21501422,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518150,178050,,,London,Chiswick,384,Chiswick,,,1,1,1,1,333,1
004442-11012019,11 Jan 2019,2019,14:11:29,14,Special Service,Special Service,RTC,Road Vehicle,Van ,On motorway / elevated road,TW13 6QN,TW13,2.00004E+11,21501679,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,511937,171738,511950,171750,51.43360103,-0.391069291,London,Twickenham,,,,,,,,,,1
004485-11012019,11 Jan 2019,2019,16:17:31,16,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21501119,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,514850,177150,,,London,Heston,189,Heston,219,Heston,1,2,2,2,666,1
004631-11012019,11 Jan 2019,2019,23:06:55,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW14,0,21501054,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,,,509150,173750,,,London,Feltham,262,Feltham,297,Feltham,1,2,2,1,333,1
004671-12012019,12 Jan 2019,2019,03:02:35,3,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21590236,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,,,521450,178450,,,London,Chiswick,265,Chiswick,632,Hammersmith,2,2,2,1,333,1
004692-12012019,12 Jan 2019,2019,05:13:46,5,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,TW3 2QH,TW3,1.00022E+11,21500227,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514376,175081,514350,175050,51.46315699,-0.354925596,London,Heston,332,Heston,,,1,1,1,1,333,3
004749-12012019,12 Jan 2019,2019,10:28:45,10,False Alarm,AFA,,Non Residential,Telephone exchange,Correct incident location,TW13 5AF,TW13,1.00023E+11,21500553,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,511040,173202,511050,173250,51.4469369,-0.4035155,London,Feltham,327,Feltham,,,1,1,1,1,333,1
005011-12012019,12 Jan 2019,2019,21:27:40,21,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW8,0,21500377,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,517950,178150,,,London,Chiswick,369,Chiswick,,,1,1,1,1,333,1
005050-13012019,13 Jan 2019,2019,00:49:20,0,False Alarm,False alarm - Good intent,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,TW13 5NG,TW13,1.00022E+11,21501173,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,512940,172706,512950,172750,51.44209664,-0.3763364,London,Feltham,400,Twickenham,,,1,1,1,1,333,1
